,Marital status,Course Code,Attendance,Previous qualification,Previous qualification (grade),Admission grade,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,Target,DropOff_Rate,Appreciation_Rate
1,single,9254,present,SSCE,160,142.5,no,female,no,19,6,14,6,13.66666667,0.79,Graduate,0.33,0
3,single,9773,present,SSCE,122,119.6,yes,male,no,20,6,13.42857143,5,12.4,-3.12,Graduate,1.03,0
4,married,8014,absent,SSCE,100,141.5,yes,male,no,45,5,12.33333333,6,13,0.79,Graduate,0,0.67
5,married,9991,absent,Bsc,133.1,114.8,yes,female,no,50,5,11.85714286,5,11.5,-0.92,Graduate,0.36,0
6,single,9500,present,SSCE,142,128.4,yes,male,yes,18,7,13.3,8,14.345,-4.06,Graduate,0,1.04
8,single,9238,present,SSCE,137,129.3,yes,male,yes,21,6,13.875,6,14.14285714,-0.92,Graduate,0,0.27
10,single,9670,present,SSCE,139,130.6,yes,male,no,18,6,12.33333333,5,14.2,0.79,Graduate,0,1.87
11,single,9500,present,SSCE,136,119.3,yes,male,yes,18,7,13.21428571,7,13.21428571,-1.7,Graduate,0,0
13,single,9254,present,Msc,110,111.8,yes,male,yes,21,6,10.57142857,5,11,3.51,Graduate,0,0.43
14,single,9085,present,SSCE,149,137.1,yes,male,yes,18,4,13.25,5,12,1.74,Graduate,1.25,0
17,single,9500,present,SSCE,135,127.3,yes,male,no,18,7,13.30625,8,14.545,-4.06,Graduate,0,1.24
19,single,9853,present,SSCE,140,124.6,yes,male,no,18,6,11.66666667,6,13.5,-0.92,Enrolled,0,1.83
21,single,9130,present,SSCE,127,121.8,yes,male,no,20,7,11.4375,8,11.425,-1.7,Enrolled,0.01,0
22,single,9500,present,SSCE,142,125.5,yes,male,no,18,7,12.85714286,7,12.85714286,-1.7,Graduate,0,0
23,single,9670,present,SSCE,125,114.9,yes,male,yes,19,6,13.375,6,12.28571429,2.02,Graduate,1.09,0
24,single,9500,present,SSCE,126,123.9,yes,male,no,19,6,13.29666667,7,14.11428571,2.02,Graduate,0,0.82
26,single,9238,present,SSCE,115,116.4,yes,male,no,21,6,11.375,6,13.28571429,-0.92,Graduate,0,1.91
28,single,9147,present,SSCE,135,122.1,yes,male,no,20,5,12,5,12.33333333,-0.92,Graduate,0,0.33
29,single,9500,present,SSCE,127,118.8,yes,female,no,19,6,12.93333333,6,13.71666667,-0.92,Enrolled,0,0.78
