,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
0,1,17,5,171,1,1,122.0,1,19,12,5.0,9.0,127.3,1,0,1,1,0,20.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10.8,1.4,1.74,Dropout
1,1,15,1,9254,1,1,160.0,1,1,3,3.0,3.0,142.5,1,0,0,1,0,19.0,0,0.0,6.0,6.0,6.0,14.0,0,0.0,6.0,6.0,6.0,13.666666666666666,0,13.9,-0.3,0.79,Graduate
2,1,1,5,9070,1,1,122.0,1,37,37,9.0,9.0,124.8,1,0,0,1,0,19.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,10.8,1.4,1.74,Dropout
3,1,17,2,9773,1,1,122.0,1,38,37,5.0,3.0,119.6,1,0,1,0,0,20.0,0,0.0,6.0,8.0,6.0,13.428571428571429,0,0.0,6.0,10.0,5.0,12.4,0,9.4,-0.8,-3.12,Graduate
4,2,39,1,8014,0,1,100.0,1,37,38,9.0,9.0,141.5,0,0,1,0,0,45.0,0,0.0,6.0,9.0,5.0,12.333333333333334,0,0.0,6.0,6.0,6.0,13.0,0,13.9,-0.3,0.79,Graduate
5,2,39,1,9991,0,19,133.1,1,37,37,9.0,7.0,114.8,0,1,1,1,0,50.0,0,0.0,5.0,10.0,5.0,11.857142857142858,0,0.0,5.0,17.0,5.0,11.5,5,16.2,0.3,-0.92,Graduate
6,1,1,1,9500,1,1,142.0,1,19,38,7.0,10.0,128.4,1,0,1,0,1,18.0,0,0.0,7.0,9.0,7.0,13.3,0,0.0,8.0,8.0,8.0,14.345,0,15.5,2.8,-4.06,Graduate
7,1,18,4,9254,1,1,119.0,1,37,37,9.0,9.0,113.1,1,0,0,1,0,22.0,0,0.0,5.0,5.0,0.0,0.0,0,0.0,5.0,5.0,0.0,0.0,0,15.5,2.8,-4.06,Dropout
8,1,1,3,9238,1,1,137.0,62,1,1,9.0,9.0,129.3,0,0,1,0,1,21.0,1,0.0,6.0,8.0,6.0,13.875,0,0.0,6.0,7.0,6.0,14.142857142857142,0,16.2,0.3,-0.92,Graduate
9,1,1,1,9238,1,1,138.0,1,1,19,4.0,7.0,123.0,1,1,0,0,0,18.0,0,0.0,6.0,9.0,5.0,11.4,0,0.0,6.0,14.0,2.0,13.5,0,8.9,1.4,3.51,Dropout
10,1,1,1,9670,1,1,139.0,1,38,19,5.0,7.0,130.6,1,0,1,0,0,18.0,0,0.0,6.0,6.0,6.0,12.333333333333334,0,0.0,6.0,7.0,5.0,14.2,0,13.9,-0.3,0.79,Graduate
11,1,1,1,9500,1,1,136.0,1,19,38,9.0,9.0,119.3,1,0,1,0,1,18.0,0,0.0,8.0,8.0,7.0,13.214285714285714,0,0.0,8.0,8.0,7.0,13.214285714285714,0,12.7,3.7,-1.7,Graduate
12,1,1,2,9853,1,1,133.0,1,19,37,4.0,9.0,130.2,1,0,1,0,0,19.0,0,0.0,6.0,6.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,12.7,3.7,-1.7,Dropout
13,1,53,1,9254,1,42,110.0,1,1,1,4.0,7.0,111.8,1,0,1,0,1,21.0,0,0.0,6.0,7.0,6.0,10.571428571428571,0,0.0,6.0,8.0,5.0,11.0,0,8.9,1.4,3.51,Graduate
14,1,1,1,9085,1,1,149.0,1,38,37,5.0,5.0,137.1,1,0,1,0,1,18.0,0,0.0,5.0,7.0,4.0,13.25,0,0.0,5.0,5.0,5.0,12.0,0,10.8,1.4,1.74,Graduate
15,1,1,1,9773,1,1,127.0,1,19,37,9.0,3.0,120.7,1,0,1,0,0,20.0,0,0.0,6.0,6.0,5.0,13.2,0,0.0,6.0,7.0,0.0,0.0,0,15.5,2.8,-4.06,Dropout
17,1,17,2,9500,1,1,135.0,1,19,1,5.0,4.0,127.3,1,0,1,0,0,18.0,0,0.0,7.0,8.0,7.0,13.30625,0,0.0,8.0,8.0,8.0,14.545,0,15.5,2.8,-4.06,Graduate
18,1,1,1,9130,1,1,137.0,1,3,19,3.0,5.0,136.3,1,0,1,0,0,20.0,0,0.0,5.0,8.0,4.0,12.5,1,0.0,5.0,8.0,4.0,12.25,2,10.8,1.4,1.74,Graduate
20,1,1,3,171,1,1,122.0,1,1,1,9.0,8.0,120.3,0,0,1,0,1,21.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,11.1,0.6,2.02,Graduate
22,1,1,4,9500,1,1,142.0,1,19,19,1.0,1.0,125.5,1,0,1,0,0,18.0,0,0.0,8.0,12.0,7.0,12.857142857142858,0,0.0,8.0,12.0,7.0,12.857142857142858,0,12.7,3.7,-1.7,Graduate
23,1,1,4,9670,1,1,125.0,1,1,38,4.0,7.0,114.9,1,0,1,0,1,19.0,0,0.0,6.0,8.0,6.0,13.375,0,0.0,6.0,7.0,6.0,12.285714285714286,0,11.1,0.6,2.02,Graduate
24,1,1,1,9500,1,1,126.0,1,19,19,3.0,7.0,123.9,0,0,1,0,0,19.0,0,0.0,7.0,8.0,6.0,13.296666666666669,0,0.0,8.0,9.0,7.0,14.114285714285714,0,11.1,0.6,2.02,Graduate
26,1,17,2,9238,1,1,115.0,1,19,38,7.0,8.0,116.4,1,0,1,0,0,21.0,0,0.0,6.0,9.0,6.0,11.375,0,0.0,6.0,9.0,6.0,13.285714285714286,0,16.2,0.3,-0.92,Graduate
